# DSS .data file
#   File      name: ( F:\Altair\trambulina\rpt\opt_1\opt_1_runsummary.data )
#   Date generated: ( 2020-12-17 21:22:16  )
#   On      system: ( Windows [Version 10.0.18362] (64 bit) )
# 
#   Generator  ver: ( HyperStudy2020.1.0.26 - py-c-011 1948507 )
#   Schema     ver: ( 2020.1.0.26 )
#
# HstMeta hstCategoryIds    = "5203","5401","5501","0202","0202","0202","0202","0202","2202","2202","2202","2202","2202","2402","2402","2402","2502","2502","2502"
# HstMeta hstLabels         = "RowLabel","StepMajor","StepMinor","tf [mm]","tc [mm]","L [m]","Skin Material","Core Material","Delta Displacement","Delta Tau_c","Delta Sigma_f","Cost","Mass","Skin Stress","Displacement","Core Stress","Cost","Max Displacement","Mass"
# HstMeta hstVarnames       = "RowLabel","StepMajor","StepMinor","tf","tc","L","skin_mat","core_mat","r_1","r_2","r_3","r_4","r_5","goal_2","goal_3","goal_4","goal_6","goal_7","goal_8"
#
v11.0	1000	5203	5401	5501	0202	0202	0202	0202	0202	2202	2202	2202	2202	2202	2402	2402	2402	2502	2502	2502
RowLabel	StepMajor	StepMinor	tf	tc	L	skin_mat	core_mat	r_1	r_2	r_3	r_4	r_5	goal_2	goal_3	goal_4	goal_6	goal_7	goal_8
Row_0023	009	002	 5.5635567	 214.31099	 1.0038124	 2.0000000	 1.0000000	 293.48620	 0.2254300	 77.585840	 143.31000	 19.691990	 77.585840	 293.48620	 0.2254300	 143.31000	 293.48620	 19.691990
Row_0024	010	001	 8.8626880	 245.51360	 3.8502400	 2.0000000	 3.0000000	 283.86611	 0.5869300	 74.975560	 2108.9600	 149.12620	 74.975560	 283.86611	 0.5869300	 2108.9600	 283.86611	 149.12620
Row_0025	010	002	 7.7697280	 349.00160	 3.0294400	 1.0000000	 1.0000000	 292.76873	 0.2315100	 36.784800	 573.13000	 116.41638	 36.784800	 292.76873	 0.2315100	 573.13000	 292.76873	 116.41638
Row_0026	011	001	 9.0652321	 16.223774	 3.3748704	 0.0000000	 2.0000000	 225.40589	 0.2036200	 16.689970	 141.72000	 242.19194	 16.689970	 225.40589	 0.2036200	 141.72000	 225.40589	 242.19194
Row_0027	011	002	 8.9997231	 15.682135	 3.3753567	 0.0000000	 2.0000000	 221.65281	 0.2007600	 15.295080	 139.51000	 240.38353	 15.295080	 221.65281	 0.2007600	 139.51000	 221.65281	 240.38353
Row_0028	012	001	 5.4593317	 209.18926	 1.0221080	 2.0000000	 1.0000000	 293.42390	 0.2250800	 77.433910	 142.62000	 19.618780	 77.433910	 293.42390	 0.2250800	 142.62000	 293.42390	 19.618780
Row_0029	012	002	 5.4449011	 209.58377	 1.0021598	 2.0000000	 1.0000000	 293.45575	 0.2251000	 77.481790	 139.94000	 19.232480	 77.481790	 293.45575	 0.2251000	 139.94000	 293.45575	 19.232480
Row_0030	013	001	 1.6903360	 455.93920	 3.0812800	 3.0000000	 2.0000000	 291.46410	 0.3120300	 188.28115	 1812.1300	 99.129580	 188.28115	 291.46410	 0.3120300	 1812.1300	 291.46410	 99.129580
Row_0031	013	002	 7.3927360	 491.21920	 1.2332800	 3.0000000	 0.0000000	 293.84504	 0.1139500	 199.01568	 1203.1200	 31.850300	 199.01568	 293.84504	 0.1139500	 1203.1200	 293.84504	 31.850300
Row_0032	014	001	 6.8668864	 61.251197	 1.0813197	 1.0000000	 0.0000000	 291.17888	 0.0766700	 33.198990	 25.960000	 22.035290	 33.198990	 291.17888	 0.0766700	 25.960000	 291.17888	 22.035290
Row_0033	014	002	 9.3187078	 10.057741	 1.0001965	 0.0000000	 1.0000000	 289.38884	 0.0881500	 43.703330	 34.110000	 73.203460	 43.703330	 289.38884	 0.0881500	 34.110000	 289.38884	 73.203460
Row_0034	015	001	 0.5881068	 251.03358	 1.0536542	 1.0000000	 0.0000000	 292.76062	 0.1063500	 19.052530	 48.780000	 9.6081300	 19.052530	 292.76062	 0.1063500	 48.780000	 292.76062	 9.6081300
Row_0035	015	002	 8.1994321	 11.327318	 1.0115521	 2.0000000	 0.0000000	 257.71413	-0.0308300	 61.412730	 55.140000	 13.614360	 61.412730	 257.71413	-0.0308300	 55.140000	 257.71413	 13.614360
Row_0036	016	001	 9.4677760	 124.30720	 3.0524800	 3.0000000	 1.0000000	 287.85452	 0.2178300	 192.90958	 3657.7500	 62.322580	 192.90958	 287.85452	 0.2178300	 3657.7500	 287.85452	 62.322580
Row_0037	016	002	 0.6924160	 486.51520	 1.6796800	 0.0000000	 2.0000000	 293.70815	 0.3126700	 45.351780	 694.15000	 62.189080	 45.351780	 293.70815	 0.3126700	 694.15000	 293.70815	 62.189080
Row_0038	017	001	 0.1442143	 270.01060	 1.0423599	 0.0000000	 1.0000000	 292.87143	 0.2243900	-18.713930	 141.19000	 15.244900	-18.713930	 292.87143	 0.2243900	 141.19000	 292.87143	 15.244900
Row_0039	017	002	 4.1091884	 34.856082	 1.0014936	 3.0000000	 0.0000000	 286.61381	 0.0442700	 181.59844	 500.12000	 7.2202100	 181.59844	 286.61381	 0.0442700	 500.12000	 286.61381	 7.2202100
Row_0040	018	001	 2.6515403	 87.750041	 1.0396706	 2.0000000	 0.0000000	 287.62090	 0.0860200	 67.239630	 34.060000	 7.1477000	 67.239630	 287.62090	 0.0860200	 34.060000	 287.62090	 7.1477000
Row_0041	018	002	 8.3127996	 10.559057	 1.0024678	 0.0000000	 0.0000000	 286.96934	-0.0359100	 41.200280	 27.910000	 65.317550	 41.200280	 286.96934	-0.0359100	 27.910000	 286.96934	 65.317550
Row_0042	019	001	 9.6578560	 468.48320	 1.8908801	 3.0000000	 3.0000000	 293.96171	 0.5934400	 198.79533	 3963.1100	 115.97733	 198.79533	 293.96171	 0.5934400	 3963.1100	 293.96171	 115.97733
Row_0043	019	002	 1.8328960	 101.57120	 3.7100800	 0.0000000	 3.0000000	 267.88644	 0.5708100	 2.4097900	 774.89000	 90.725330	 2.4097900	 267.88644	 0.5708100	 774.89000	 267.88644	 90.725330
Row_0044	020	001	 2.6391755	 97.973657	 1.0049874	 0.0000000	 1.0000000	 293.08295	 0.2105100	 48.865230	 57.510000	 25.611450	 48.865230	 293.08295	 0.2105100	 57.510000	 293.08295	 25.611450
Row_0045	020	002	 1.5816326	 132.83936	 1.1400101	 1.0000000	 0.0000000	 291.62614	 0.0974000	 24.224660	 30.670000	 9.4114500	 24.224660	 291.62614	 0.0974000	 30.670000	 291.62614	 9.4114500
Row_0046	021	001	 4.4869933	 29.904514	 1.0602397	 1.0000000	 0.0000000	 284.32248	 0.0342600	 19.786580	 14.700000	 13.795850	 19.786580	 284.32248	 0.0342600	 14.700000	 284.32248	 13.795850
Row_0047	021	002	 0.8398671	 171.85184	 1.0149476	 1.0000000	 0.0000000	 292.24779	 0.1016000	 19.412530	 33.010000	 7.5341800	 19.412530	 292.24779	 0.1016000	 33.010000	 292.24779	 7.5341800
Row_0048	022	001	 8.8024960	 144.69120	 1.1180800	 1.0000000	 3.0000000	 293.74132	 0.5804200	 37.565450	 342.15000	 42.750760	 37.565450	 293.74132	 0.5804200	 342.15000	 293.74132	 42.750760
Row_0049	022	002	 1.7727040	 490.74880	 3.9779200	 0.0000000	 0.0000000	 291.72283	 0.1138100	 46.595900	 373.39000	 113.56772	 46.595900	 291.72283	 0.1138100	 373.39000	 291.72283	 113.56772
Row_0050	023	001	 5.4793858	 29.789351	 1.0141045	 1.0000000	 0.0000000	 286.66447	 0.0364300	 24.561660	 15.940000	 15.909230	 24.561660	 286.66447	 0.0364300	 15.940000	 286.66447	 15.909230
Row_0051	023	002	 1.3623249	 116.01068	 1.0281739	 1.0000000	 0.0000000	 291.41899	 0.0941100	 21.082680	 24.120000	 7.3602400	 21.082680	 291.41899	 0.0941100	 24.120000	 291.41899	 7.3602400
Row_0052	024	001	 4.5231784	 183.10240	 1.0255287	 1.0000000	 0.0000000	 293.29640	 0.1040800	 36.444880	 42.570000	 18.157680	 36.444880	 293.29640	 0.1040800	 42.570000	 293.29640	 18.157680
